	log2FoldChange	padj	external_gene_name	Description
ENSG00000185745	-1.76508496804588	1.7430968031438198e-49	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ENSG00000204287	3.17393109529624	3.27655343529253e-49		
ENSG00000269113	6.38436533231453	1.52067775182696e-48	TRABD2B	TraB domain containing 2B
ENSG00000177469	-1.43666697814458	2.14383986345688e-48	CAVIN1	caveolae associated protein 1
ENSG00000206075	-1.642749496231	7.7125975829566e-48	SERPINB5	serpin family B member 5
ENSG00000147027	1.92905955929007	1.00981977655226e-47	TMEM47	transmembrane protein 47
ENSG00000166949	-1.22519507278966	2.83545713310938e-47	SMAD3	SMAD family member 3
ENSG00000111885	2.31673977674084	4.93334801113606e-47	MAN1A1	mannosidase alpha class 1A member 1
ENSG00000145703	2.07929243057409	1.6210073738095602e-46	IQGAP2	IQ motif containing GTPase activating protein 2
ENSG00000132911	-1.55796511291926	3.75497775413548e-46	NMUR2	neuromedin U receptor 2
ENSG00000070404	-1.76668824125339	4.1485598940707804e-46	FSTL3	follistatin like 3
ENSG00000170558	-2.00650050914153	4.3317598663444e-46	CDH2	cadherin 2
ENSG00000033170	-1.35542433687312	4.8921537707496e-46	FUT8	fucosyltransferase 8
ENSG00000142623	2.08952202585554	9.839643731801651e-46		
ENSG00000175538	2.11922220165154	1.40023887592418e-45	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3
ENSG00000182718	-1.25282571943043	1.62850534213045e-45	ANXA2	annexin A2
ENSG00000006118	-1.33497322411349	3.1741167871000903e-45	TMEM132A	transmembrane protein 132A
ENSG00000234771	2.05672221728445	4.42191049006511e-45	SLC25A25-AS1	SLC25A25 antisense RNA 1
ENSG00000167779	-1.99203029694237	6.0210678144421e-45	IGFBP6	insulin like growth factor binding protein 6
ENSG00000162896	1.079810386545	9.41152394551358e-45	PIGR	polymeric immunoglobulin receptor
ENSG00000145901	-1.25980383160586	1.0480752756947601e-44	TNIP1	TNFAIP3 interacting protein 1
ENSG00000275395	2.58370930782964	1.19157589998004e-44		
ENSG00000131016	-2.68599284040165	3.2504015616684e-44	AKAP12	A-kinase anchoring protein 12
ENSG00000272398	1.68412293693046	3.5821684030838503e-44	CD24	CD24 molecule
ENSG00000009765	6.02570619876087	5.351709306845751e-44	IYD	iodotyrosine deiodinase
ENSG00000167183	1.82574763298155	6.94727047331757e-44	PRR15L	proline rich 15 like
ENSG00000107984	-2.27854241422281	7.238245962514891e-44	DKK1	dickkopf WNT signaling pathway inhibitor 1
ENSG00000042062	1.50367780414122	1.11385814261555e-43	RIPOR3	RIPOR family member 3
ENSG00000185567	-1.91125372078283	5.16485314477008e-43	AHNAK2	AHNAK nucleoprotein 2
ENSG00000196188	-1.54175282659487	7.81014087618344e-43	CTSE	cathepsin E
ENSG00000138449	1.78976951498055	5.7670594101359e-42	SLC40A1	solute carrier family 40 member 1
ENSG00000134398	1.44160430667444	7.960425640230339e-42	ERN2	endoplasmic reticulum to nucleus signaling 2
ENSG00000101134	2.36655512991121	2.72759408064715e-41	DOK5	docking protein 5
ENSG00000138646	-2.12650397546635	5.9702826335034e-41	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
ENSG00000001617	2.78987810929633	1.2728957506311e-40	SEMA3F	semaphorin 3F
ENSG00000182809	2.82086062086848	1.43706600598607e-40	CRIP2	cysteine rich protein 2
ENSG00000134531	-1.25607368275367	1.4472725115702499e-40	EMP1	epithelial membrane protein 1
ENSG00000146648	-1.07161538918721	2.62867188233751e-40	EGFR	epidermal growth factor receptor
ENSG00000109321	-2.32636634769693	2.75511494530701e-40	AREG	amphiregulin
ENSG00000245532	1.4905258291866	3.73462990229224e-40	NEAT1	nuclear paraspeckle assembly transcript 1
ENSG00000133657	1.10737103177352	1.19101724290471e-39	ATP13A3	ATPase 13A3
ENSG00000141682	-1.24995041629335	2.23624685525394e-39	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
ENSG00000128641	-1.25458225740581	2.31814086145538e-39	MYO1B	myosin IB
ENSG00000117983	5.19589659101187	2.70060750109716e-39	MUC5B	mucin 5B, oligomeric mucus/gel-forming
ENSG00000205403	2.76749299641176	3.56807218458203e-39	CFI	complement factor I
ENSG00000105519	2.6911809197227	9.54330475123113e-39	CAPS	calcyphosine
ENSG00000166016	-1.50537607089526	1.36674104036453e-38	ABTB2	ankyrin repeat and BTB domain containing 2
ENSG00000136802	-1.43622030024524	1.82458261584169e-38	LRRC8A	leucine rich repeat containing 8 VRAC subunit A
ENSG00000116906	1.08906690404666	1.83804130816472e-38	GNPAT	glyceronephosphate O-acyltransferase
ENSG00000197943	1.62507072073935	6.11999083170048e-38	PLCG2	phospholipase C gamma 2
ENSG00000149260	1.13761897425324	2.75136645019912e-37	CAPN5	calpain 5
ENSG00000020181	1.6283813023513	3.22845483693954e-37	ADGRA2	adhesion G protein-coupled receptor A2
ENSG00000125148	-2.23619186898735	1.1025787685708099e-36	MT2A	metallothionein 2A
ENSG00000100867	-2.2562938672633	1.19411180158366e-36	DHRS2	dehydrogenase/reductase 2
ENSG00000134955	-1.56091132148065	1.71125944766413e-36	SLC37A2	solute carrier family 37 member 2
ENSG00000127954	1.37571670245168	2.9908706678925497e-36	STEAP4	STEAP4 metalloreductase
ENSG00000163817	1.08438070306039	3.16878972153761e-36	SLC6A20	solute carrier family 6 member 20
ENSG00000184860	1.06181590733192	5.13760180448101e-36	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1
ENSG00000151651	-1.29884862409045	5.5678474596812895e-36	ADAM8	ADAM metallopeptidase domain 8
ENSG00000196924	-1.47464705010085	6.07730600084233e-36	FLNA	filamin A
ENSG00000079257	1.76070939455063	1.30779222179696e-35	LXN	latexin
ENSG00000172183	-1.77773343473377	1.98028088472346e-35	ISG20	interferon stimulated exonuclease gene 20
ENSG00000171766	1.23639927301037	2.4101883844858603e-35	GATM	glycine amidinotransferase
ENSG00000197353	3.60198763551349	5.385568683476699e-35	LYPD2	LY6/PLAUR domain containing 2
ENSG00000124145	-1.82420063745924	6.763030685243121e-35	SDC4	syndecan 4
ENSG00000103089	-1.40461238706559	1.1438372591479199e-34	FA2H	fatty acid 2-hydroxylase
ENSG00000124225	-1.62133046172872	1.36694245152693e-34	PMEPA1	prostate transmembrane protein, androgen induced 1
ENSG00000221926	-1.25159785254715	1.47641747682905e-34	TRIM16	tripartite motif containing 16
ENSG00000101384	-1.87248846784517	4.5265307041280295e-34	JAG1	jagged canonical Notch ligand 1
ENSG00000117013	-2.39866114034081	5.2197838373149695e-34	KCNQ4	potassium voltage-gated channel subfamily Q member 4
ENSG00000144824	-2.50131141818224	2.08438486084639e-33	PHLDB2	pleckstrin homology like domain family B member 2
ENSG00000189377	6.63527487929682	2.71268431458404e-33	CXCL17	C-X-C motif chemokine ligand 17
ENSG00000138642	-2.04437709171592	2.8329328373199997e-33	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
ENSG00000146674	-1.02440902261144	3.09878678222961e-33	IGFBP3	insulin like growth factor binding protein 3
ENSG00000137628	-1.52745050994427	3.48021881591854e-33	DDX60	DExD/H-box helicase 60
ENSG00000100906	-1.05081630511086	5.12881017464558e-33	NFKBIA	NFKB inhibitor alpha
ENSG00000136542	-1.16342754187497	6.52273891515548e-33	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5
ENSG00000150347	2.04287815164208	1.06317630915934e-32	ARID5B	AT-rich interaction domain 5B
ENSG00000157613	2.03126201191726	1.88860648687274e-32	CREB3L1	cAMP responsive element binding protein 3 like 1
ENSG00000173210	-1.36796547984566	2.13709488595147e-32	ABLIM3	actin binding LIM protein family member 3
ENSG00000106546	1.08467938121846	5.58722484853953e-32	AHR	aryl hydrocarbon receptor
ENSG00000149948	-1.53739018188148	1.1998521503939801e-31	HMGA2	high mobility group AT-hook 2
ENSG00000154153	1.73548807776296	2.12501433148973e-31	RETREG1	reticulophagy regulator 1
ENSG00000143061	-1.62733090445409	2.88896815843079e-31	IGSF3	immunoglobulin superfamily member 3
ENSG00000115602	-3.14483923282455	6.6441458550705995e-31	IL1RL1	interleukin 1 receptor like 1
ENSG00000157654	-1.66560784382094	7.36155469244835e-31	PALM2AKAP2	PALM2 and AKAP2 fusion
ENSG00000206503	-1.1289249930515	2.5509045135883098e-30		
ENSG00000163286	-1.69462314260765	3.70835104604578e-30	ALPG	alkaline phosphatase, germ cell
ENSG00000166333	-1.0826178853133	4.00995080242271e-30	ILK	integrin linked kinase
ENSG00000175592	-2.33403989748682	4.49458602087541e-30	FOSL1	FOS like 1, AP-1 transcription factor subunit
ENSG00000120738	1.55479154741176	5.1080547504616e-30	EGR1	early growth response 1
ENSG00000197102	-1.10345910393351	5.439529774094159e-30	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
ENSG00000144749	1.24324670255544	1.2800464959803998e-29	LRIG1	leucine rich repeats and immunoglobulin like domains 1
ENSG00000198910	-3.1681675541564	1.97301057094031e-29	L1CAM	L1 cell adhesion molecule
ENSG00000169248	-2.61528042168523	3.01397041957195e-29	CXCL11	C-X-C motif chemokine ligand 11
ENSG00000013588	-1.00597047852786	3.08240313121018e-29	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000079819	-1.56607204738023	3.12296454969404e-29	EPB41L2	erythrocyte membrane protein band 4.1 like 2
ENSG00000106123	-2.34898735171771	6.62760907147777e-29		
ENSG00000179820	-1.19286558449242	1.1425680746286599e-28	MYADM	myeloid associated differentiation marker
ENSG00000105939	-1.13200209458145	1.22108625440308e-28	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
ENSG00000135919	-1.47506141544062	1.27772488024747e-28	SERPINE2	serpin family E member 2
ENSG00000145632	-1.57730305064606	1.71388461229801e-28	PLK2	polo like kinase 2
ENSG00000135454	-3.68360953663402	2.07549694106462e-28	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1
ENSG00000029153	-1.13412427111781	3.55452038302251e-28	BMAL2	basic helix-loop-helix ARNT like 2
ENSG00000156966	-1.85658445138819	3.97771991895884e-28	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
ENSG00000150687	-1.82229733112766	4.42824898646712e-28	PRSS23	serine protease 23
ENSG00000167767	-1.32198799301148	5.32935215383297e-28	KRT80	keratin 80
ENSG00000105971	-1.45120295917809	8.549542465279249e-28	CAV2	caveolin 2
ENSG00000189334	1.78560743477097	1.11054282603113e-27	S100A14	S100 calcium binding protein A14
ENSG00000136930	-1.18371282980416	1.11942104458129e-27	PSMB7	proteasome 20S subunit beta 7
ENSG00000147010	-1.22934613809139	1.2626054293905e-27	SH3KBP1	SH3 domain containing kinase binding protein 1
ENSG00000164659	-3.43656915042005	1.32303314411304e-27	ELAPOR2	endosome-lysosome associated apoptosis and autophagy regulator family member 2
ENSG00000196549	2.80843549945725	1.76641460427518e-27	MME	membrane metalloendopeptidase
ENSG00000196352	-1.30690770109035	2.49973958091601e-27	CD55	CD55 molecule (Cromer blood group)
ENSG00000126822	-1.16349312927828	2.78956525599327e-27	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3
ENSG00000198121	-1.69212740578376	3.47192953570577e-27	LPAR1	lysophosphatidic acid receptor 1
ENSG00000167601	-2.1975782035707	8.10682034566273e-27	AXL	AXL receptor tyrosine kinase
ENSG00000134363	-2.79232877481184	8.14673553809699e-27	FST	follistatin
ENSG00000129451	-1.41987324421748	1.00875084335981e-26	KLK10	kallikrein related peptidase 10
ENSG00000123843	-2.03179877277954	3.2144444158105597e-26	C4BPB	complement component 4 binding protein beta
ENSG00000198848	4.03401959968638	4.29435030179348e-26		
ENSG00000107201	-1.73396488753731	4.4782081045908297e-26	RIGI	RNA sensor RIG-I
ENSG00000205413	-1.18414197952589	4.5547585486542696e-26	SAMD9	sterile alpha motif domain containing 9
ENSG00000169252	-1.48386275097344	7.98686941310239e-26	ADRB2	adrenoceptor beta 2
ENSG00000183696	-1.72358072380978	1.1531590595035402e-25	UPP1	uridine phosphorylase 1
ENSG00000099250	-1.46136193516697	1.67270717146725e-25	NRP1	neuropilin 1
ENSG00000170681	-2.75982161094625	1.79418556529597e-25	CAVIN4	caveolae associated protein 4
ENSG00000139278	-2.45039471338123	2.16162003435452e-25	GLIPR1	GLI pathogenesis related 1
ENSG00000254166	-1.03576941417451	4.33827772379965e-25	CASC19	cancer susceptibility 19
ENSG00000139725	-1.17122550999939	5.1848671825883e-25	RHOF	ras homolog family member F, filopodia associated
ENSG00000268621	2.15314919449854	7.7533863453213905e-25	IGFL2-AS1	IGFL2 antisense RNA 1
ENSG00000142871	-1.60016436184793	1.18136599770265e-24	CCN1	cellular communication network factor 1
ENSG00000118322	1.33099821853854	1.73180019914151e-24	ATP10B	ATPase phospholipid transporting 10B (putative)
ENSG00000143367	-1.1242085859175	1.85454349032119e-24	TUFT1	tuftelin 1
ENSG00000196154	1.25767267557064	2.28580441827064e-24	S100A4	S100 calcium binding protein A4
ENSG00000196937	-1.24213342152884	2.6169395639754102e-24	FAM3C	FAM3 metabolism regulating signaling molecule C
ENSG00000174502	1.99312556722125	3.15569662809583e-24	SLC26A9	solute carrier family 26 member 9
ENSG00000020577	-1.6382468569996	8.69846036886189e-24	SAMD4A	sterile alpha motif domain containing 4A
ENSG00000115267	-1.44720700635867	9.442011503338101e-24	IFIH1	interferon induced with helicase C domain 1
ENSG00000145431	2.08799202201148	9.96352072490337e-24	PDGFC	platelet derived growth factor C
ENSG00000134138	1.58552726520636	1.1245678055744101e-23	MEIS2	Meis homeobox 2
ENSG00000116871	-1.06409972777996	1.20640310208447e-23	MAP7D1	MAP7 domain containing 1
ENSG00000164171	-1.15977745755963	1.48450119826259e-23	ITGA2	integrin subunit alpha 2
ENSG00000148677	1.29937197935549	2.0785263417050202e-23	ANKRD1	ankyrin repeat domain 1
ENSG00000258947	-1.37046342779165	2.27973257583665e-23	TUBB3	tubulin beta 3 class III
ENSG00000197747	-1.05394524003056	2.45687059615092e-23	S100A10	S100 calcium binding protein A10
ENSG00000116667	2.53713770855613	2.6418022226587802e-23	C1orf21	chromosome 1 open reading frame 21
ENSG00000101457	-1.13012336146299	4.27253828551624e-23	DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1
ENSG00000110218	-1.06443691436266	5.20320011505437e-23	PANX1	pannexin 1
ENSG00000187867	2.71015819727007	5.73026571876655e-23		
ENSG00000153130	1.05410214193513	6.01358167834448e-23	SCOC	short coiled-coil protein
ENSG00000173267	1.63789831484699	8.715679095532111e-23	SNCG	synuclein gamma
ENSG00000110047	-1.1486956722622	1.0273137687045499e-22	EHD1	EH domain containing 1
ENSG00000161714	-1.29825407250682	1.20367756994703e-22	PLCD3	phospholipase C delta 3
ENSG00000100504	-1.1942743338334	1.46363927014365e-22	PYGL	glycogen phosphorylase L
ENSG00000087495	-1.2757267699858	1.49491920993254e-22	PHACTR3	phosphatase and actin regulator 3
ENSG00000136244	-3.31066005158339	1.87765207468979e-22	IL6	interleukin 6
ENSG00000124762	-1.65565102170156	2.69077067922655e-22	CDKN1A	cyclin dependent kinase inhibitor 1A
ENSG00000164379	1.0527869423279	2.9042872155326197e-22	FOXQ1	forkhead box Q1
ENSG00000124201	-1.13411506124558	3.43608993187132e-22	ZNFX1	zinc finger NFX1-type containing 1
ENSG00000177707	1.50331523805655	3.5092335739704097e-22	NECTIN3	nectin cell adhesion molecule 3
ENSG00000184489	1.2143316764006	3.54483205409246e-22		
ENSG00000160223	-1.49275240514855	4.2061635110501e-22	ICOSLG	inducible T cell costimulator ligand
ENSG00000019582	3.45815953189167	4.84341708919458e-22	CD74	CD74 molecule
ENSG00000112782	1.91061856083207	1.27504000894605e-21	CLIC5	chloride intracellular channel 5
ENSG00000103742	-3.12137514949585	1.27799332674654e-21	IGDCC4	immunoglobulin superfamily DCC subclass member 4
ENSG00000137440	-1.72573516057681	1.42502652464438e-21	FGFBP1	fibroblast growth factor binding protein 1
ENSG00000136237	1.38776728373997	1.60166899085449e-21	RAPGEF5	Rap guanine nucleotide exchange factor 5
ENSG00000173467	1.71529880304719	1.70079638830648e-21	AGR3	anterior gradient 3, protein disulphide isomerase family member
ENSG00000105088	1.58979445615232	1.96072017105803e-21	OLFM2	olfactomedin 2
ENSG00000106211	1.00607154127185	2.87665741820844e-21	HSPB1	heat shock protein family B (small) member 1
ENSG00000276023	-1.35680312959309	3.18197751307155e-21	DUSP14	dual specificity phosphatase 14
ENSG00000133131	-1.27356878733484	4.18530869796306e-21	MORC4	MORC family CW-type zinc finger 4
ENSG00000112531	-1.1603483529458	4.67066315600295e-21	QKI	QKI, KH domain containing RNA binding
ENSG00000281991	-1.2146263353722	5.39216460698677e-21	TMEM265	transmembrane protein 265
ENSG00000167676	2.32665992735709	5.7826432853780404e-21	PLIN4	perilipin 4
ENSG00000073008	-1.02584698940457	5.98876777985812e-21	PVR	PVR cell adhesion molecule
ENSG00000087191	-1.03376573189641	6.68313784325181e-21	PSMC5	proteasome 26S subunit, ATPase 5
ENSG00000144724	1.78402891858504	6.89615824037015e-21	PTPRG	protein tyrosine phosphatase receptor type G
ENSG00000223865	2.73039522979419	8.322438561467931e-21		
ENSG00000137309	-1.03325805538532	9.890171664269281e-21	HMGA1	high mobility group AT-hook 1
ENSG00000251562	1.20365817243827	1.1381144853746801e-20	MALAT1	metastasis associated lung adenocarcinoma transcript 1
ENSG00000121716	1.08320603894483	1.6269375566983502e-20	PILRB	paired immunoglobin like type 2 receptor beta
ENSG00000151014	-2.32685210986426	2.5937443491027203e-20	NOCT	nocturnin
ENSG00000023445	-1.0149566594905	4.00166096656745e-20	BIRC3	baculoviral IAP repeat containing 3
ENSG00000111110	1.426645313077	5.43321964563278e-20	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
ENSG00000114107	1.44382659353076	5.43321964563278e-20	CEP70	centrosomal protein 70
ENSG00000064787	1.22763954553245	6.516500079081301e-20	BCAS1	brain enriched myelin associated protein 1
ENSG00000196126	2.19520281984846	7.432321070150581e-20		
ENSG00000164050	1.1981586630122	1.28508904715737e-19	PLXNB1	plexin B1
ENSG00000173702	1.17057691816267	1.42098926580237e-19	MUC13	mucin 13, cell surface associated
ENSG00000173890	1.13127597387879	1.50950767891695e-19	GPR160	G protein-coupled receptor 160
ENSG00000164825	1.08553655362248	2.0311466546148998e-19		
ENSG00000180535	-1.21058801397246	2.39408866454611e-19	BHLHA15	basic helix-loop-helix family member a15
ENSG00000120162	1.42659899796916	2.9929140537182903e-19	MOB3B	MOB kinase activator 3B
ENSG00000139318	1.02080842845596	4.736480663273431e-19	DUSP6	dual specificity phosphatase 6
ENSG00000214290	1.46173149447176	4.76461995824375e-19	POU2AF3	POU class 2 homeobox associating factor 3
ENSG00000145012	1.13962691357262	5.05421095249995e-19	LPP	LIM domain containing preferred translocation partner in lipoma
ENSG00000056558	-2.11918718194698	6.58069609135955e-19	TRAF1	TNF receptor associated factor 1
ENSG00000117394	-1.02376123917347	8.000522303271591e-19	SLC2A1	solute carrier family 2 member 1
ENSG00000118849	2.76123138144567	8.417457691714191e-19	RARRES1	retinoic acid receptor responder 1
ENSG00000182253	-1.38946188764418	1.1387884510484e-18	SYNM	synemin
ENSG00000118785	4.52784872416978	1.4339425201326099e-18	SPP1	secreted phosphoprotein 1
ENSG00000100558	-1.00233598969918	1.74562106336659e-18	PLEK2	pleckstrin 2
ENSG00000128567	-1.16045845632071	1.82377050986966e-18	PODXL	podocalyxin like
ENSG00000181649	-1.47787908646153	2.41142663794111e-18		
ENSG00000163283	-1.66778752910334	3.0677495923102397e-18	ALPP	alkaline phosphatase, placental
ENSG00000117069	-4.27020975491062	4.7952866700737e-18	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
ENSG00000128340	-1.08406177525097	8.67250610324585e-18	RAC2	Rac family small GTPase 2
ENSG00000181381	-1.64439802750095	9.36991777987271e-18	DDX60L	DExD/H-box 60 like
ENSG00000135917	3.0398774163512	1.00952366534139e-17	SLC19A3	solute carrier family 19 member 3
ENSG00000019549	-3.16585348412287	1.0253936845435401e-17	SNAI2	snail family transcriptional repressor 2
ENSG00000171243	3.03936392194642	1.21209070657303e-17	SOSTDC1	sclerostin domain containing 1
ENSG00000066697	-1.48166834571018	1.25632974307069e-17	MSANTD3	Myb/SANT DNA binding domain containing 3
ENSG00000204525	-1.0581050021063	1.27430095215404e-17		
ENSG00000115758	-1.12867382318571	2.1303912261009902e-17	ODC1	ornithine decarboxylase 1
ENSG00000019186	1.97856584998304	2.5278774809746902e-17	CYP24A1	cytochrome P450 family 24 subfamily A member 1
ENSG00000168685	-2.90886373363881	2.66630469406552e-17	IL7R	interleukin 7 receptor
ENSG00000144583	-6.1788006812087	2.84320898089576e-17	MARCHF4	membrane associated ring-CH-type finger 4
ENSG00000141458	-1.02595065499059	3.1168303602169704e-17	NPC1	NPC intracellular cholesterol transporter 1
ENSG00000131746	-1.18248192994805	3.43130133414735e-17	TNS4	tensin 4
ENSG00000183287	-3.1342199911608	3.82643081817177e-17	CCBE1	collagen and calcium binding EGF domains 1
ENSG00000169116	-1.32050882763814	3.84811678759651e-17	PARM1	prostate androgen-regulated mucin-like protein 1
ENSG00000116574	1.85410587139332	5.09132235408465e-17		
ENSG00000140030	5.22308382748209	5.12944463108069e-17	GPR65	G protein-coupled receptor 65
ENSG00000146112	-1.62726399557701	8.9981607085404e-17		
ENSG00000179583	2.29651351410008	1.22165827455033e-16	CIITA	class II major histocompatibility complex transactivator
ENSG00000164125	-2.08971129889118	1.82049405316139e-16	GASK1B	golgi associated kinase 1B
ENSG00000125999	2.91918025486935	2.14914544142221e-16	BPIFB1	BPI fold containing family B member 1
ENSG00000156931	1.11948817784007	2.3240292492211897e-16	VPS8	VPS8 subunit of CORVET complex
ENSG00000185432	2.19825920820593	2.50030733846179e-16	TMT1A	thiol methyltransferase 1A
ENSG00000072682	-1.4215541288738	2.51787953720113e-16	P4HA2	prolyl 4-hydroxylase subunit alpha 2
ENSG00000231013	5.69006947745481	3.02799328984332e-16	SCTR-AS1	SCTR antisense RNA 1
ENSG00000167114	-1.02171932435482	5.007952536928129e-16	SLC27A4	solute carrier family 27 member 4
ENSG00000189431	-2.18188450210428	6.33119446008908e-16	RASSF10	Ras association domain family member 10
ENSG00000148180	-1.07955846678842	7.804219555939009e-16	GSN	gelsolin
ENSG00000160180	1.4505483657006	8.40434829201e-16	TFF3	trefoil factor 3
ENSG00000148468	-1.31564587626676	9.24639458832031e-16	FAM171A1	family with sequence similarity 171 member A1
