	log2FoldChange	padj	external_gene_name	Description
ENSG00000057019	-2.05144640526534	7.53858930038962e-79	DCBLD2	discoidin, CUB and LCCL domain containing 2
ENSG00000198535	4.05954556453202	6.5896809279398e-76	C2CD4A	C2 calcium dependent domain containing 4A
ENSG00000036828	9.85880864569995	8.4320731353956e-71	CASR	calcium sensing receptor
ENSG00000138271	-4.42320477908809	3.20778585559475e-70	GPR87	G protein-coupled receptor 87
ENSG00000070526	3.01564679735258	5.5979372716311e-70	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
ENSG00000139318	1.85240399296	9.645539449579349e-70	DUSP6	dual specificity phosphatase 6
ENSG00000023445	-2.01333455041277	4.85294187772593e-69	BIRC3	baculoviral IAP repeat containing 3
ENSG00000058085	-1.90639869956298	3.6650740540747004e-68	LAMC2	laminin subunit gamma 2
ENSG00000151388	-6.55113159144982	2.3278287630811e-66		
ENSG00000100097	-2.32078669977595	5.65227830402141e-66	LGALS1	galectin 1
ENSG00000169252	-2.89666544647787	8.58678492331653e-64	ADRB2	adrenoceptor beta 2
ENSG00000134318	1.96241579172741	4.15512437773354e-63	ROCK2	Rho associated coiled-coil containing protein kinase 2
ENSG00000111863	-4.68408030113897	6.760659370322e-63	ADTRP	androgen dependent TFPI regulating protein
ENSG00000146648	-1.5026357426915	8.45396270989268e-63	EGFR	epidermal growth factor receptor
ENSG00000106211	-1.81211249199431	2.99926072099299e-62	HSPB1	heat shock protein family B (small) member 1
ENSG00000153944	1.5190108245786	1.8363129446586202e-60	MSI2	musashi RNA binding protein 2
ENSG00000071073	-2.25154218997631	6.98047627438945e-60	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
ENSG00000171310	-2.30741623059964	2.5900925897302003e-59	CHST11	carbohydrate sulfotransferase 11
ENSG00000165516	1.44618615770729	3.6147780696405004e-59	KLHDC2	kelch domain containing 2
ENSG00000167183	2.01075498051021	1.29659011380074e-58	PRR15L	proline rich 15 like
ENSG00000137642	-1.38934076440865	1.8819890160838302e-58	SORL1	sortilin related receptor 1
ENSG00000196352	1.40551511169787	2.25871177993732e-58	CD55	CD55 molecule (Cromer blood group)
ENSG00000152661	5.64731465473344	5.0324479562862996e-58	GJA1	gap junction protein alpha 1
ENSG00000106066	1.32202885927381	3.2607601750255104e-54	CPVL	carboxypeptidase vitellogenic like
ENSG00000091136	-1.53132473086646	3.72005566007973e-54	LAMB1	laminin subunit beta 1
ENSG00000053747	-1.49672383836481	2.17070521313608e-52	LAMA3	laminin subunit alpha 3
ENSG00000122068	1.38583786057681	2.2315241021081002e-52	FYTTD1	forty-two-three domain containing 1
ENSG00000145287	1.57750381433297	6.514274838990731e-52	PLAC8	placenta associated 8
ENSG00000105835	-1.6129598358632	1.10211123318736e-51	NAMPT	nicotinamide phosphoribosyltransferase
ENSG00000105974	-2.41186870972172	2.17808979841342e-51	CAV1	caveolin 1
ENSG00000042062	-2.94527439415998	2.45019148049558e-51	RIPOR3	RIPOR family member 3
ENSG00000196937	-1.59551609183385	4.13971581837645e-51	FAM3C	FAM3 metabolism regulating signaling molecule C
ENSG00000170681	-4.94987135556078	4.95560406028795e-50	CAVIN4	caveolae associated protein 4
ENSG00000187837	1.87748610646167	7.47825417222221e-50	H1-2	H1.2 linker histone, cluster member
ENSG00000261713	2.7036181832568	1.0836519886435599e-49	SSTR5-AS1	SSTR5 antisense RNA 1
ENSG00000144724	2.27889166080275	2.01367015434718e-48	PTPRG	protein tyrosine phosphatase receptor type G
ENSG00000106688	2.19420197557183	2.32511610858387e-48	SLC1A1	solute carrier family 1 member 1
ENSG00000148344	-1.5154192260606	5.51360456869898e-48	PTGES	prostaglandin E synthase
ENSG00000285043	-2.29008655260459	1.25703617787166e-47		
ENSG00000163735	-1.59318365960475	1.0174967545259801e-46	CXCL5	C-X-C motif chemokine ligand 5
ENSG00000149948	-1.56209101111809	1.6387928093057001e-46	HMGA2	high mobility group AT-hook 2
ENSG00000137965	-1.31659937476987	1.01096683827573e-45	IFI44	interferon induced protein 44
ENSG00000157227	1.58692529496541	1.0354926725353601e-44	MMP14	matrix metallopeptidase 14
ENSG00000006210	-3.33458043462448	1.1712277601865e-44	CX3CL1	C-X3-C motif chemokine ligand 1
ENSG00000157654	-1.59008610316393	1.17589217694874e-44	PALM2AKAP2	PALM2 and AKAP2 fusion
ENSG00000281991	-1.92183172281209	2.88915084804253e-44	TMEM265	transmembrane protein 265
ENSG00000124795	1.2415544809464	5.23494458685859e-44	DEK	DEK proto-oncogene
ENSG00000145901	-1.20403431847871	5.72095220883634e-44	TNIP1	TNFAIP3 interacting protein 1
ENSG00000125148	-2.0829188723407	1.0306260132757599e-43	MT2A	metallothionein 2A
ENSG00000117525	-2.02292283988298	1.36340815743214e-43	F3	coagulation factor III, tissue factor
ENSG00000196188	1.19304617113302	1.42498132582779e-43	CTSE	cathepsin E
ENSG00000154153	2.05510721122939	2.2150442447849e-43	RETREG1	reticulophagy regulator 1
ENSG00000184254	-1.36956019349279	2.44242102366805e-43	ALDH1A3	aldehyde dehydrogenase 1 family member A3
ENSG00000131746	1.79196368813976	7.29269525236083e-43	TNS4	tensin 4
ENSG00000196141	-1.20045203352659	9.28642302527194e-43	SPATS2L	spermatogenesis associated serine rich 2 like
ENSG00000151276	1.55644185762979	2.92813364380455e-42	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1
ENSG00000178882	3.98131244763007	4.1285588375429295e-42	RFLNA	refilin A
ENSG00000080824	1.24271711806731	1.46315743304572e-41	HSP90AA1	heat shock protein 90 alpha family class A member 1
ENSG00000135318	-1.51966027486712	1.46315743304572e-41	NT5E	5'-nucleotidase ecto
ENSG00000003402	-1.20720079789137	1.7187729124521998e-41	CFLAR	CASP8 and FADD like apoptosis regulator
ENSG00000151748	1.3733898207091	2.0063713000784599e-41	SAV1	salvador family WW domain containing protein 1
ENSG00000205922	2.47367105808478	5.59361175216601e-41	ONECUT3	one cut homeobox 3
ENSG00000182899	1.26997188772483	1.76835257669405e-40	RPL35A	ribosomal protein L35a
ENSG00000164120	-1.81838211114154	2.13816183382884e-40	HPGD	15-hydroxyprostaglandin dehydrogenase
ENSG00000244128	-4.68022301178276	2.9085367255277896e-40	LINC01322	long intergenic non-protein coding RNA 1322
ENSG00000116906	1.10462222031682	9.91185261341756e-40	GNPAT	glyceronephosphate O-acyltransferase
ENSG00000166949	-1.16104164535283	1.18296669796812e-39	SMAD3	SMAD family member 3
ENSG00000122515	-1.38801724115673	1.38567040449768e-39	ZMIZ2	zinc finger MIZ-type containing 2
ENSG00000117477	7.29499976441712	3.23512379508198e-39	CCDC181	coiled-coil domain containing 181
ENSG00000091073	-1.63906820387244	4.65958211480558e-39		
ENSG00000160181	1.6097410525486	4.88594611255229e-39	TFF2	trefoil factor 2
ENSG00000171401	3.33636600719898	6.14404660957269e-39	KRT13	keratin 13
ENSG00000139289	-1.0217187094069	7.67225879523129e-39	PHLDA1	pleckstrin homology like domain family A member 1
ENSG00000012171	1.21477006938299	1.54507265767777e-38	SEMA3B	semaphorin 3B
ENSG00000203697	1.61465587552785	4.3082846702984803e-38	CAPN8	calpain 8
ENSG00000054983	1.46300998392201	2.24132948033821e-37	GALC	galactosylceramidase
ENSG00000070669	1.27212694232024	3.24145648383361e-37	ASNS	asparagine synthetase (glutamine-hydrolyzing)
ENSG00000090776	1.32934717829571	3.3978238556167402e-37	EFNB1	ephrin B1
ENSG00000136205	-1.51014042835078	5.29404750102666e-37	TNS3	tensin 3
ENSG00000163590	2.12165294205587	5.97112210055358e-37	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L
ENSG00000090060	1.01534312672018	6.35962217131075e-37	PAPOLA	poly(A) polymerase alpha
ENSG00000167601	-3.03449607661618	2.08295845285503e-36	AXL	AXL receptor tyrosine kinase
ENSG00000176463	-1.33996585952306	2.50195309995301e-36	SLCO3A1	solute carrier organic anion transporter family member 3A1
ENSG00000272808	-1.29836873640752	1.86971789057831e-35	GCAWKR	gastric cancer associated WDR5 and KAT2A binding lncRNA
ENSG00000109321	-2.22998297089955	2.09681971182206e-35	AREG	amphiregulin
ENSG00000137710	-1.73106994830544	2.3699567462059702e-35	RDX	radixin
ENSG00000119917	-1.16421313859036	4.2677093560013904e-35	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ENSG00000149289	-1.6362052939112	5.49997469725473e-35	ZC3H12C	zinc finger CCCH-type containing 12C
ENSG00000127324	1.33445775875733	6.210818640868299e-35	TSPAN8	tetraspanin 8
ENSG00000260542	8.43470189421275	1.10586980943328e-34		
ENSG00000124225	-1.60591634335338	2.16572794541938e-34	PMEPA1	prostate transmembrane protein, androgen induced 1
ENSG00000172794	2.15441837816754	2.33717053325912e-34	RAB37	RAB37, member RAS oncogene family
ENSG00000105388	1.48553998254988	2.5780025790986897e-34	CEACAM5	CEA cell adhesion molecule 5
ENSG00000100600	1.32357201758614	2.6272083175599197e-34	LGMN	legumain
ENSG00000112699	1.67231827867367	2.9169376447660498e-34	GMDS	GDP-mannose 4,6-dehydratase
ENSG00000242086	1.10587887256433	2.9906634479337797e-34		
ENSG00000172985	1.87594264470253	3.2519250171660998e-34	SH3RF3	SH3 domain containing ring finger 3
ENSG00000177383	1.15358940957735	6.67750028481471e-34	MAGEF1	MAGE family member F1
ENSG00000107099	-1.88789316276845	9.804515555537289e-34	DOCK8	dedicator of cytokinesis 8
ENSG00000130396	-1.18570192691164	1.0680469931100299e-33	AFDN	afadin, adherens junction formation factor
ENSG00000113327	-4.50694966665068	1.50137884385142e-33	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2
ENSG00000073737	-2.63309653544162	1.81261572338625e-33	DHRS9	dehydrogenase/reductase 9
ENSG00000127399	-1.82429614006215	2.33957168500337e-33	LRRC61	leucine rich repeat containing 61
ENSG00000128422	1.3446158595687	3.56910319667888e-33	KRT17	keratin 17
ENSG00000128641	-1.10230982582446	6.1215355875813795e-33	MYO1B	myosin IB
ENSG00000173175	1.44463323635754	9.61208361909294e-33	ADCY5	adenylate cyclase 5
ENSG00000073417	-1.02476338527217	1.6839450521209e-32	PDE8A	phosphodiesterase 8A
ENSG00000117983	4.07235743470816	2.3836482409364003e-32	MUC5B	mucin 5B, oligomeric mucus/gel-forming
ENSG00000136167	-1.03355546253946	2.683136222064e-32	LCP1	lymphocyte cytosolic protein 1
ENSG00000176903	1.41877925055708	3.24386459364148e-32	PNMA1	PNMA family member 1
ENSG00000196923	-1.19576225024159	4.06551579962664e-32	PDLIM7	PDZ and LIM domain 7
ENSG00000136813	-1.21731664283401	4.39096784716463e-32	ECPAS	Ecm29 proteasome adaptor and scaffold
ENSG00000143633	1.46490205314521	5.36378878296484e-32	C1orf131	chromosome 1 open reading frame 131
ENSG00000065320	-1.39767416684935	5.38329953713057e-32	NTN1	netrin 1
ENSG00000164379	1.21984741651307	5.56235707595474e-32	FOXQ1	forkhead box Q1
ENSG00000170915	1.66292547877401	8.48815963173885e-32	PAQR8	progestin and adipoQ receptor family member 8
ENSG00000085662	-1.1993132753681	1.0115561454137202e-31	AKR1B1	aldo-keto reductase family 1 member B
ENSG00000156966	-2.02986999819423	1.46065318107345e-31	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
ENSG00000154655	-5.07044049982681	1.98533767325739e-31	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4
ENSG00000102804	1.52446662972119	2.7329503233987603e-31	TSC22D1	TSC22 domain family member 1
ENSG00000150687	-1.87710840772391	2.9791751246044304e-31	PRSS23	serine protease 23
ENSG00000189431	-3.58731166823943	4.03071069481746e-31	RASSF10	Ras association domain family member 10
ENSG00000182985	-4.17384103475586	5.279250730902521e-31	CADM1	cell adhesion molecule 1
ENSG00000104951	-3.47738730489021	7.2544765812677405e-31	IL4I1	interleukin 4 induced 1
ENSG00000151012	1.01489836289356	7.572268345639481e-31	SLC7A11	solute carrier family 7 member 11
ENSG00000103855	-1.1410035051406	7.921594017245771e-31	CD276	CD276 molecule
ENSG00000073849	1.68507678495489	8.322850724573399e-31	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
ENSG00000272398	1.40400284586578	8.798339780084831e-31	CD24	CD24 molecule
ENSG00000145908	-3.15193643709032	9.15542028529699e-31	ZNF300	zinc finger protein 300
ENSG00000182253	-2.07911755352251	1.112694615162e-30	SYNM	synemin
ENSG00000143013	1.2592987190678	1.1539158664962598e-30	LMO4	LIM domain only 4
ENSG00000185551	-1.41603219020619	2.6787945641323496e-30	NR2F2	nuclear receptor subfamily 2 group F member 2
ENSG00000156411	1.30254956700393	3.1767377917844596e-30	ATP5MJ	ATP synthase membrane subunit j
ENSG00000155066	-2.22448630805842	4.399532893083139e-30		
ENSG00000270170	1.45792644798424	6.041045476485949e-30	NCBP2AS2	NCBP2 antisense 2 (head to head)
ENSG00000101825	-10.080519873382	6.42794982502518e-30	MXRA5	matrix remodeling associated 5
ENSG00000178950	-1.31654996730395	7.20978998260558e-30	GAK	cyclin G associated kinase
ENSG00000117013	-2.23743379830316	1.06263361468905e-29	KCNQ4	potassium voltage-gated channel subfamily Q member 4
ENSG00000170017	-1.02020071387493	1.1329495886756699e-29	ALCAM	activated leukocyte cell adhesion molecule
ENSG00000224259	3.61049422215138	1.16691689339937e-29	LINC01133	long intergenic non-protein coding RNA 1133
ENSG00000133112	1.29690601384997	1.61823054446287e-29	TPT1	tumor protein, translationally-controlled 1
ENSG00000112531	-1.31072668446759	2.35128146153594e-29	QKI	QKI, KH domain containing RNA binding
ENSG00000156026	1.09343444691613	2.56766343620522e-29	MCU	mitochondrial calcium uniporter
ENSG00000187097	1.51165320003238	4.15505168291897e-29	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
ENSG00000248144	5.17966416744723	5.39410237335786e-29	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ENSG00000128595	-1.08517740928914	5.7762255795716e-29	CALU	calumenin
ENSG00000174469	-2.00752287558845	7.09988432490627e-29	CNTNAP2	contactin associated protein 2
ENSG00000198836	1.078899626789	8.27394401999414e-29	OPA1	OPA1 mitochondrial dynamin like GTPase
ENSG00000144460	-2.16918055612382	8.58803745130131e-29	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
ENSG00000109654	1.24538633317212	8.68438671838651e-29	TRIM2	tripartite motif containing 2
ENSG00000175130	1.00080407458801	1.1403099824243999e-28	MARCKSL1	MARCKS like 1
ENSG00000140464	-1.37247304480427	1.4845867904806299e-28	PML	PML nuclear body scaffold
ENSG00000198910	-2.85923444250491	1.73153695131091e-28	L1CAM	L1 cell adhesion molecule
ENSG00000105953	-1.06689352388952	1.8894497153166099e-28	OGDH	oxoglutarate dehydrogenase
ENSG00000111348	-1.22928095592335	2.01492516108475e-28	ARHGDIB	Rho GDP dissociation inhibitor beta
ENSG00000135926	-1.02918906514955	2.09146523043506e-28	TMBIM1	transmembrane BAX inhibitor motif containing 1
ENSG00000158406	2.07649768699459	2.1293036139451e-28	H4C8	H4 clustered histone 8
ENSG00000148175	-1.85431179257167	2.76679627243301e-28	STOM	stomatin
ENSG00000143183	1.04748015348605	2.9120765609910497e-28	TMCO1	transmembrane and coiled-coil domains 1
ENSG00000130066	1.60401073754938	2.9644325287345698e-28	SAT1	spermidine/spermine N1-acetyltransferase 1
ENSG00000168268	1.21100797856673	6.9136820917967595e-28	NT5DC2	5'-nucleotidase domain containing 2
ENSG00000184292	-1.14976888168603	1.22522871288454e-27	TACSTD2	tumor associated calcium signal transducer 2
ENSG00000171863	1.15464553665246	1.39553633833173e-27	RPS7	ribosomal protein S7
ENSG00000158373	1.34907796849391	1.54368872500567e-27	H2BC5	H2B clustered histone 5
ENSG00000105088	1.84395553934107	2.14870905473523e-27	OLFM2	olfactomedin 2
ENSG00000128340	-1.39167440888715	2.50429897175422e-27	RAC2	Rac family small GTPase 2
ENSG00000132329	-1.52897367406803	2.74398091716262e-27	RAMP1	receptor activity modifying protein 1
ENSG00000122786	-2.54902893729194	3.0802171204697798e-27	CALD1	caldesmon 1
ENSG00000140044	1.92849197039306	4.10706185835255e-27	JDP2	Jun dimerization protein 2
ENSG00000164125	-3.14692946680345	6.31288095898889e-27	GASK1B	golgi associated kinase 1B
ENSG00000160180	1.83042440932543	7.31094946120555e-27	TFF3	trefoil factor 3
ENSG00000139684	1.02792568719233	7.50229229139091e-27	ESD	esterase D
ENSG00000141682	-1.04230493189976	7.55429341822161e-27	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
ENSG00000151332	1.37128597087714	1.40393171212056e-26	MBIP	MAP3K12 binding inhibitory protein 1
ENSG00000106397	-1.16267797259956	1.6065319946895002e-26	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
ENSG00000102243	-3.26078819464981	1.65746118973841e-26	VGLL1	vestigial like family member 1
ENSG00000271503	-1.58806004179055	4.0879095028305196e-26		
ENSG00000117519	-1.2590346996043	4.1188250986403297e-26	CNN3	calponin 3
ENSG00000143753	-1.1391861609014	4.30645084960968e-26	DEGS1	delta 4-desaturase, sphingolipid 1
ENSG00000188643	1.01093580992628	4.69033911501304e-26	S100A16	S100 calcium binding protein A16
ENSG00000043039	-1.35505153021732	5.35867913548077e-26	BARX2	BARX homeobox 2
ENSG00000066230	1.14485198883628	6.65490630150594e-26		
ENSG00000175928	-4.08197265830638	6.72962963145267e-26	LRRN1	leucine rich repeat neuronal 1
ENSG00000114503	1.03834016862403	7.07282629509743e-26	NCBP2	nuclear cap binding protein subunit 2
ENSG00000105939	-1.191632833863	7.22287628647286e-26	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
ENSG00000180573	1.07472759952116	7.82257787745524e-26	H2AC6	H2A clustered histone 6
ENSG00000145536	-4.88266039412846	1.10501466006691e-25	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16
ENSG00000163565	-2.96219990733005	1.19325260055484e-25	IFI16	interferon gamma inducible protein 16
ENSG00000291105	-6.15932100220566	1.23395680032248e-25		
ENSG00000163634	1.33474824813279	1.2624426143778e-25	THOC7	THO complex subunit 7
ENSG00000100994	1.06556173780286	1.2749736869976202e-25	PYGB	glycogen phosphorylase B
ENSG00000151364	2.12810539582884	1.72448019135589e-25	KCTD14	potassium channel tetramerization domain containing 14
ENSG00000122863	-1.27576626215434	1.7859109617646e-25	CHST3	carbohydrate sulfotransferase 3
ENSG00000197903	1.00205955848627	1.82457930909106e-25	H2BC12	H2B clustered histone 12
ENSG00000183696	-1.77901220971205	1.8710420259704502e-25	UPP1	uridine phosphorylase 1
ENSG00000154127	-1.54785344933706	2.14890368296812e-25	UBASH3B	ubiquitin associated and SH3 domain containing B
ENSG00000067798	-1.6458266600124	2.26808113749958e-25	NAV3	neuron navigator 3
ENSG00000280165	2.43588859856223	3.00046064991187e-25	PCDH20	protocadherin 20
ENSG00000108602	1.02242659642523	3.41416779377697e-25	ALDH3A1	aldehyde dehydrogenase 3 family member A1
ENSG00000090316	-1.1364012545741	8.889148545933851e-25	MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase
ENSG00000184203	1.20676695576933	9.2074695264713e-25	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2
ENSG00000083857	1.00846658115893	9.37086851202278e-25	FAT1	FAT atypical cadherin 1
ENSG00000172183	-1.29041366423015	1.12553836512659e-24	ISG20	interferon stimulated exonuclease gene 20
ENSG00000106683	-1.28332844695383	1.16706852090104e-24	LIMK1	LIM domain kinase 1
ENSG00000115419	-1.05244660604029	1.37347281016137e-24	GLS	glutaminase
ENSG00000159618	-2.36193592562031	2.07079397434906e-24	ADGRG5	adhesion G protein-coupled receptor G5
ENSG00000167767	-1.33329729725138	2.11129077468451e-24	KRT80	keratin 80
ENSG00000156976	1.10801792948683	2.44105755670857e-24	EIF4A2	eukaryotic translation initiation factor 4A2
ENSG00000059378	-1.36408391960586	3.03895947726034e-24	PARP12	poly(ADP-ribose) polymerase family member 12
ENSG00000253368	1.23890909473227	4.0152997425552005e-24	TRNP1	TMF1 regulated nuclear protein 1
ENSG00000124802	1.40759841516042	5.23044258322465e-24	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
ENSG00000154358	-1.65361165258313	5.28631323600767e-24	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
ENSG00000268621	2.1019856604504	1.2052102178729501e-23	IGFL2-AS1	IGFL2 antisense RNA 1
ENSG00000086289	-1.18772261177513	1.36611738099642e-23	EPDR1	ependymin related 1
ENSG00000043093	1.0544709340588	1.51859934061128e-23	DCUN1D1	defective in cullin neddylation 1 domain containing 1
ENSG00000100889	1.17639068561709	1.93640604498792e-23		
ENSG00000136928	-2.06321217004401	2.13116498878291e-23	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
ENSG00000142623	1.41883673598492	2.13116498878291e-23		
ENSG00000123384	1.14221013750633	2.79410748099673e-23	LRP1	LDL receptor related protein 1
ENSG00000272602	2.49921972715192	3.43005159213361e-23	ZNF595	zinc finger protein 595
ENSG00000167600	1.0831879529932	3.96071354184246e-23	CYP2S1	cytochrome P450 family 2 subfamily S member 1
ENSG00000106123	-2.1636884085023	4.5890374871022405e-23		
ENSG00000131016	-1.50656088858451	5.74534187597078e-23	AKAP12	A-kinase anchoring protein 12
ENSG00000127418	-1.40626161777364	7.208462139818881e-23	FGFRL1	fibroblast growth factor receptor like 1
ENSG00000079819	-1.3880237716156	8.38973574529443e-23	EPB41L2	erythrocyte membrane protein band 4.1 like 2
ENSG00000164690	1.06092554970137	1.03323832318275e-22	SHH	sonic hedgehog signaling molecule
ENSG00000162458	-1.15640261774388	1.0382055992710199e-22	FBLIM1	filamin binding LIM protein 1
ENSG00000144747	1.22654560842585	1.15937154204349e-22	TMF1	TATA element modulatory factor 1
ENSG00000010322	1.02166614647388	1.1711383985184199e-22	NISCH	nischarin
ENSG00000002933	-2.94053702765433	1.3463686699320898e-22	TMEM176A	transmembrane protein 176A
ENSG00000010404	-1.20812172861856	1.47755774762582e-22	IDS	iduronate 2-sulfatase
ENSG00000133657	1.36482781625834	1.6497021452880699e-22	ATP13A3	ATPase 13A3
ENSG00000145703	1.58906260068019	2.1830658297924e-22	IQGAP2	IQ motif containing GTPase activating protein 2
ENSG00000265190	-3.73234185447015	2.36981909507603e-22	ANXA8	annexin A8
ENSG00000136930	-1.03792595259943	2.37074799682829e-22	PSMB7	proteasome 20S subunit beta 7
ENSG00000231925	-1.13261787162747	6.31410516779086e-22		
ENSG00000196782	1.67139540370503	6.5927149455693e-22	MAML3	mastermind like transcriptional coactivator 3
ENSG00000129538	-2.13697558490493	6.997503881008349e-22	RNASE1	ribonuclease A family member 1, pancreatic
ENSG00000148411	-1.01297151981668	7.11193454038891e-22	NACC2	NACC family member 2
ENSG00000244649	-4.07048913822723	1.21905797476379e-21	LINC02086	long intergenic non-protein coding RNA 2086
ENSG00000198682	-1.33072629004739	1.26367523424221e-21	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
ENSG00000102854	1.64679834177398	1.26596991693749e-21	MSLN	mesothelin
ENSG00000163297	1.06999647725149	1.66458323560534e-21	ANTXR2	ANTXR cell adhesion molecule 2
ENSG00000159692	-1.16072226035462	2.6805464444317602e-21	CTBP1	C-terminal binding protein 1
ENSG00000164400	-4.04486905454548	3.20378474804596e-21	CSF2	colony stimulating factor 2
ENSG00000183853	-1.26071779415251	3.4808796443686e-21	KIRREL1	kirre like nephrin family adhesion molecule 1
ENSG00000138835	-1.0975905919084	4.41129138638502e-21	RGS3	regulator of G protein signaling 3
