ENSEMBL	Symbol	Description	Biotype
ENSG00000229970		novel transcript, antisense to ICA1	lncRNA
ENSG00000137261	KIAA0319	KIAA0319	protein_coding
ENSG00000166396	SERPINB7	serpin family B member 7	protein_coding
ENSG00000184956	MUC6	mucin 6, oligomeric mucus/gel-forming	protein_coding
ENSG00000184254	ALDH1A3	aldehyde dehydrogenase 1 family member A3	protein_coding
ENSG00000197355	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	protein_coding
ENSG00000100626	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	protein_coding
ENSG00000100473	COCH	cochlin	protein_coding
ENSG00000171385	KCND3	potassium voltage-gated channel subfamily D member 3	protein_coding
ENSG00000253348		novel transcript	lncRNA
ENSG00000026559	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	protein_coding
ENSG00000137251	TINAG	tubulointerstitial nephritis antigen	protein_coding
ENSG00000175048	ZDHHC14	zinc finger DHHC-type palmitoyltransferase 14	protein_coding
ENSG00000170956	CEACAM3	CEA cell adhesion molecule 3	protein_coding
ENSG00000107957	SH3PXD2A	SH3 and PX domains 2A	protein_coding
ENSG00000134874	DZIP1	DAZ interacting zinc finger protein 1	protein_coding
ENSG00000102781	KATNAL1	katanin catalytic subunit A1 like 1	protein_coding
ENSG00000196923	PDLIM7	PDZ and LIM domain 7	protein_coding
ENSG00000165140	FBP1	fructose-bisphosphatase 1	protein_coding
ENSG00000077274	CAPN6	calpain 6	protein_coding
ENSG00000100867	DHRS2	dehydrogenase/reductase 2	protein_coding
ENSG00000150687	PRSS23	serine protease 23	protein_coding
ENSG00000174567	GOLT1A	golgi transport 1A	protein_coding
ENSG00000269825		novel zinc finger protein	protein_coding
ENSG00000231683	KILH	KRT19 interacting long noncoding RNA in hepatocellular carcinoma	lncRNA
ENSG00000011201	ANOS1	anosmin 1	protein_coding
ENSG00000196154	S100A4	S100 calcium binding protein A4	protein_coding
ENSG00000116661	FBXO2	F-box protein 2	protein_coding
ENSG00000110876	SELPLG	selectin P ligand	protein_coding
ENSG00000258498	DIO3OS	DIO3 opposite strand upstream RNA	lncRNA
ENSG00000280987	MATR3	matrin 3	protein_coding
ENSG00000100097	LGALS1	galectin 1	protein_coding
ENSG00000134240	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	protein_coding
ENSG00000173269	MMRN2	multimerin 2	protein_coding
ENSG00000196074	SYCP2	synaptonemal complex protein 2	protein_coding
ENSG00000226824		novel transcript	lncRNA
ENSG00000067798	NAV3	neuron navigator 3	protein_coding
ENSG00000284922	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing	protein_coding
ENSG00000137968	SLC44A5	solute carrier family 44 member 5	protein_coding
ENSG00000227627		novel transcript	lncRNA
ENSG00000143013	LMO4	LIM domain only 4	protein_coding
ENSG00000261175	LINC02188	long intergenic non-protein coding RNA 2188	lncRNA
ENSG00000138642	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	protein_coding
ENSG00000133103	COG6	component of oligomeric golgi complex 6	protein_coding
ENSG00000197408	CYP2B6	cytochrome P450 family 2 subfamily B member 6	protein_coding
ENSG00000237187	NR2F1-AS1	NR2F1 antisense RNA 1	lncRNA
ENSG00000276850		novel transcript	lncRNA
ENSG00000151014	NOCT	nocturnin	protein_coding
ENSG00000047457	CP	ceruloplasmin	protein_coding
ENSG00000101236	RNF24	ring finger protein 24	protein_coding
ENSG00000169903	TM4SF4	transmembrane 4 L six family member 4	protein_coding
ENSG00000181381	DDX60L	DExD/H-box 60 like	protein_coding
ENSG00000108622	ICAM2	intercellular adhesion molecule 2	protein_coding
ENSG00000166263	STXBP4	syntaxin binding protein 4	protein_coding
ENSG00000166046	TCP11L2	t-complex 11 like 2	protein_coding
ENSG00000130821	SLC6A8	solute carrier family 6 member 8	protein_coding
