ENSEMBL	Symbol	Description	Biotype
ENSG00000172339	ALG14	ALG14 UDP-N-acetylglucosaminyltransferase subunit	protein_coding
ENSG00000103316	CRYM	crystallin mu	protein_coding
ENSG00000119922	IFIT2	interferon induced protein with tetratricopeptide repeats 2	protein_coding
ENSG00000167165	UGT1A6	UDP glucuronosyltransferase family 1 member A6	protein_coding
ENSG00000174099	MSRB3	methionine sulfoxide reductase B3	protein_coding
ENSG00000134463	ECHDC3	enoyl-CoA hydratase domain containing 3	protein_coding
ENSG00000291149		novel transcript	lncRNA
ENSG00000136327	NKX2-8	NK2 homeobox 8	protein_coding
ENSG00000103355	PRSS33	serine protease 33	protein_coding
ENSG00000172738	TMEM217	transmembrane protein 217	protein_coding
ENSG00000104967	NOVA2	NOVA alternative splicing regulator 2	protein_coding
ENSG00000112759	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	protein_coding
ENSG00000169282	KCNAB1	potassium voltage-gated channel subfamily A regulatory beta subunit 1	protein_coding
ENSG00000150594	ADRA2A	adrenoceptor alpha 2A	protein_coding
ENSG00000187546	AGMO	alkylglycerol monooxygenase	protein_coding
ENSG00000165188	RNF183	ring finger protein 183	protein_coding
ENSG00000156127	BATF	basic leucine zipper ATF-like transcription factor	protein_coding
ENSG00000168016	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1	protein_coding
ENSG00000204610	TRIM15	tripartite motif containing 15	protein_coding
ENSG00000084734	GCKR	glucokinase regulator	protein_coding
ENSG00000067840	PDZD4	PDZ domain containing 4	protein_coding
ENSG00000271303	SRXN1	sulfiredoxin 1	protein_coding
ENSG00000196368	NUDT11	nudix hydrolase 11	protein_coding
ENSG00000287358		novel transcript	lncRNA
ENSG00000115919	KYNU	kynureninase	protein_coding
ENSG00000107485	GATA3	GATA binding protein 3	protein_coding
ENSG00000181019	NQO1	NAD(P)H quinone dehydrogenase 1	protein_coding
ENSG00000198074	AKR1B10	aldo-keto reductase family 1 member B10	protein_coding
ENSG00000022267	FHL1	four and a half LIM domains 1	protein_coding
ENSG00000138101	DTNB	dystrobrevin beta	protein_coding
ENSG00000104687	GSR	glutathione-disulfide reductase	protein_coding
ENSG00000287064		novel transcript	lncRNA
ENSG00000229719	MIR194-2HG	MIR194-2 host gene	lncRNA
ENSG00000260704	LINC00543	long intergenic non-protein coding RNA 543	lncRNA
ENSG00000204634	TBC1D8	TBC1 domain family member 8	protein_coding
ENSG00000196260	SFTA2	surfactant associated 2	protein_coding
ENSG00000145246	ATP10D	ATPase phospholipid transporting 10D (putative)	protein_coding
ENSG00000087842	PIR	pirin	protein_coding
ENSG00000120685	PROSER1	proline and serine rich 1	protein_coding
ENSG00000077782	FGFR1	fibroblast growth factor receptor 1	protein_coding
ENSG00000155850	SLC26A2	solute carrier family 26 member 2	protein_coding
ENSG00000173267	SNCG	synuclein gamma	protein_coding
ENSG00000120696	KBTBD7	kelch repeat and BTB domain containing 7	protein_coding
ENSG00000106025	TSPAN12	tetraspanin 12	protein_coding
ENSG00000291194		novel transcript	lncRNA
ENSG00000079112	CDH17	cadherin 17	protein_coding
ENSG00000183044	ABAT	4-aminobutyrate aminotransferase	protein_coding
ENSG00000184986	TMEM121	transmembrane protein 121	protein_coding
ENSG00000196503	ARL9	ADP ribosylation factor like GTPase 9	protein_coding
ENSG00000259341	LINC03080	long intergenic non-protein coding RNA 3080	lncRNA
ENSG00000175711	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	protein_coding
ENSG00000176842	IRX5	iroquois homeobox 5	protein_coding
ENSG00000137312	FLOT1	flotillin 1	protein_coding
ENSG00000128591	FLNC	filamin C	protein_coding
ENSG00000242082	SLC5A4-AS1	SLC5A4 antisense RNA 1	lncRNA
ENSG00000197959	DNM3	dynamin 3	protein_coding
ENSG00000151320	AKAP6	A-kinase anchoring protein 6	protein_coding
ENSG00000135447	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	protein_coding
ENSG00000233589		novel transcript	lncRNA
ENSG00000183128	CALHM3	calcium homeostasis modulator 3	protein_coding
ENSG00000232940	HCG25	HLA complex group 25	lncRNA
ENSG00000059728	MXD1	MAX dimerization protein 1	protein_coding
ENSG00000136155	SCEL	sciellin	protein_coding
ENSG00000178750	STX19	syntaxin 19	protein_coding
ENSG00000153898	MCOLN2	mucolipin TRP cation channel 2	protein_coding
ENSG00000188613	NANOS1	nanos C2HC-type zinc finger 1	protein_coding
ENSG00000291110	TRIM16L	tripartite motif containing 16 like (pseudogene)	lncRNA
ENSG00000103544	VPS35L	VPS35 endosomal protein sorting factor like	protein_coding
ENSG00000145029	NICN1	nicolin 1, tubulin polyglutamylase complex subunit	protein_coding
ENSG00000248668	OXCT1-AS1	OXCT1 antisense RNA 1	lncRNA
ENSG00000134072	CAMK1	calcium/calmodulin dependent protein kinase I	protein_coding
ENSG00000211445	GPX3	glutathione peroxidase 3	protein_coding
ENSG00000165807	PPP1R36	protein phosphatase 1 regulatory subunit 36	protein_coding
ENSG00000230084	ZBTB47-AS1	ZBTB47 and NKTR antisense RNA 1	lncRNA
ENSG00000198429	ZNF69	zinc finger protein 69	protein_coding
ENSG00000205089	CCNI2	cyclin I family member 2	protein_coding
ENSG00000228509		novel transcript, antisense to NAB1	lncRNA
ENSG00000198431	TXNRD1	thioredoxin reductase 1	protein_coding
ENSG00000205683	DPF3	double PHD fingers 3	protein_coding
ENSG00000155465	SLC7A7	solute carrier family 7 member 7	protein_coding
ENSG00000128602	SMO	smoothened, frizzled class receptor	protein_coding
ENSG00000185112	FAM43A	family with sequence similarity 43 member A	protein_coding
ENSG00000158458	NRG2	neuregulin 2	protein_coding
ENSG00000160886	LY6K	lymphocyte antigen 6 family member K	protein_coding
ENSG00000170006	TMEM154	transmembrane protein 154	protein_coding
ENSG00000004848	ARX	aristaless related homeobox	protein_coding
ENSG00000179630	LACC1	laccase domain containing 1	protein_coding
ENSG00000079308	TNS1	tensin 1	protein_coding
ENSG00000170962	PDGFD	platelet derived growth factor D	protein_coding
ENSG00000158296	SLC13A3	solute carrier family 13 member 3	protein_coding
ENSG00000177283	FZD8	frizzled class receptor 8	protein_coding
ENSG00000203635		novel transcript	lncRNA
ENSG00000137628	DDX60	DExD/H-box helicase 60	protein_coding
ENSG00000170011	MYRIP	myosin VIIA and Rab interacting protein	protein_coding
ENSG00000186529	CYP4F3	cytochrome P450 family 4 subfamily F member 3	protein_coding
ENSG00000108771	DHX58	DExH-box helicase 58	protein_coding
ENSG00000197261	C6orf141	chromosome 6 open reading frame 141	protein_coding
ENSG00000163909	HEYL	hes related family bHLH transcription factor with YRPW motif like	protein_coding
ENSG00000065675	PRKCQ	protein kinase C theta	protein_coding
ENSG00000102174	PHEX	phosphate regulating endopeptidase X-linked	protein_coding
ENSG00000125144	MT1G	metallothionein 1G	protein_coding
ENSG00000168026	TTC21A	tetratricopeptide repeat domain 21A	protein_coding
ENSG00000164406	LEAP2	liver enriched antimicrobial peptide 2	protein_coding
ENSG00000180745	CLRN3	clarin 3	protein_coding
ENSG00000106853	PTGR1	prostaglandin reductase 1	protein_coding
ENSG00000164114	MAP9	microtubule associated protein 9	protein_coding
ENSG00000156413	FUT6	fucosyltransferase 6	protein_coding
ENSG00000180263	FGD6	FYVE, RhoGEF and PH domain containing 6	protein_coding
ENSG00000166349	RAG1	recombination activating 1	protein_coding
ENSG00000151025	GPR158	G protein-coupled receptor 158	protein_coding
ENSG00000121207	LRAT	lecithin retinol acyltransferase	protein_coding
ENSG00000205436	EXOC3L4	exocyst complex component 3 like 4	protein_coding
ENSG00000147872	PLIN2	perilipin 2	protein_coding
ENSG00000084110	HAL	histidine ammonia-lyase	protein_coding
ENSG00000196876	SCN8A	sodium voltage-gated channel alpha subunit 8	protein_coding
ENSG00000136147	PHF11	PHD finger protein 11	protein_coding
ENSG00000223799	IL10RB-DT	IL10RB divergent transcript	lncRNA
ENSG00000187678	SPRY4	sprouty RTK signaling antagonist 4	protein_coding
ENSG00000171365	CLCN5	chloride voltage-gated channel 5	protein_coding
ENSG00000109814	UGDH	UDP-glucose 6-dehydrogenase	protein_coding
ENSG00000198712	MT-CO2	mitochondrially encoded cytochrome c oxidase II	protein_coding
ENSG00000101493	ZNF516	zinc finger protein 516	protein_coding
ENSG00000185909	KLHDC8B	kelch domain containing 8B	protein_coding
ENSG00000135127	BICDL1	BICD family like cargo adaptor 1	protein_coding
ENSG00000272079		novel transcript	lncRNA
ENSG00000290862	NMRAL2P	NmrA like redox sensor 2, pseudogene	lncRNA
ENSG00000164818	DNAAF5	dynein axonemal assembly factor 5	protein_coding
ENSG00000167618	LAIR2	leukocyte associated immunoglobulin like receptor 2	protein_coding
ENSG00000069667	RORA	RAR related orphan receptor A	protein_coding
ENSG00000002726	AOC1	amine oxidase copper containing 1	protein_coding
ENSG00000180447	GAS1	growth arrest specific 1	protein_coding
ENSG00000182871	COL18A1	collagen type XVIII alpha 1 chain	protein_coding
ENSG00000245573	BDNF-AS	BDNF antisense RNA	lncRNA
ENSG00000250033	SLC7A11-AS1	SLC7A11 antisense RNA 1	lncRNA
ENSG00000186998	EMID1	EMI domain containing 1	protein_coding
ENSG00000187105	HEATR4	HEAT repeat containing 4	protein_coding
ENSG00000136869	TLR4	toll like receptor 4	protein_coding
ENSG00000154217	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1	protein_coding
ENSG00000198734	F5	coagulation factor V	protein_coding
ENSG00000114395	CYB561D2	cytochrome b561 family member D2	protein_coding
ENSG00000173702	MUC13	mucin 13, cell surface associated	protein_coding
ENSG00000142920	AZIN2	antizyme inhibitor 2	protein_coding
ENSG00000130433	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	protein_coding
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit	protein_coding
ENSG00000064787	BCAS1	brain enriched myelin associated protein 1	protein_coding
ENSG00000237289	CKMT1B	creatine kinase, mitochondrial 1B	protein_coding
ENSG00000126106	TMEM53	transmembrane protein 53	protein_coding
ENSG00000147231	RADX	RPA1 related single stranded DNA binding protein, X-linked	protein_coding
ENSG00000173546	CSPG4	chondroitin sulfate proteoglycan 4	protein_coding
ENSG00000255152	MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	protein_coding
ENSG00000291045		novel transcript	lncRNA
ENSG00000120885	CLU	clusterin	protein_coding
ENSG00000232860	SMG7-AS1	SMG7 antisense RNA 1	lncRNA
ENSG00000167476	JSRP1	junctional sarcoplasmic reticulum protein 1	protein_coding
ENSG00000188039	NWD1	NACHT and WD repeat domain containing 1	protein_coding
ENSG00000169432	SCN9A	sodium voltage-gated channel alpha subunit 9	protein_coding
ENSG00000170323	FABP4	fatty acid binding protein 4	protein_coding
ENSG00000112139	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	protein_coding
ENSG00000120688	WBP4	WW domain binding protein 4	protein_coding
ENSG00000285000		novel protein, AGGF1-ZBED3-AS1 readthrough	protein_coding
ENSG00000258053		novel transcript	lncRNA
ENSG00000135114	OASL	2'-5'-oligoadenylate synthetase like	protein_coding
ENSG00000120690	ELF1	E74 like ETS transcription factor 1	protein_coding
ENSG00000105851	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	protein_coding
ENSG00000171451	DSEL	dermatan sulfate epimerase like	protein_coding
ENSG00000104327	CALB1	calbindin 1	protein_coding
ENSG00000171608	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein_coding
ENSG00000183087	GAS6	growth arrest specific 6	protein_coding
ENSG00000130477	UNC13A	unc-13 homolog A	protein_coding
ENSG00000078018	MAP2	microtubule associated protein 2	protein_coding
ENSG00000075043	KCNQ2	potassium voltage-gated channel subfamily Q member 2	protein_coding
ENSG00000168502	MTCL1	microtubule crosslinking factor 1	protein_coding
ENSG00000185499	MUC1	mucin 1, cell surface associated	protein_coding
ENSG00000056277	ZNF280C	zinc finger protein 280C	protein_coding
ENSG00000115457	IGFBP2	insulin like growth factor binding protein 2	protein_coding
ENSG00000114026	OGG1	8-oxoguanine DNA glycosylase	protein_coding
ENSG00000078596	ITM2A	integral membrane protein 2A	protein_coding
ENSG00000064655	EYA2	EYA transcriptional coactivator and phosphatase 2	protein_coding
ENSG00000090266	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	protein_coding
ENSG00000288720		novel transcript	lncRNA
ENSG00000148735	PLEKHS1	pleckstrin homology domain containing S1	protein_coding
ENSG00000256235	SMIM3	small integral membrane protein 3	protein_coding
ENSG00000249923	LINC02891	long intergenic non-protein coding RNA 2891	lncRNA
ENSG00000139329	LUM	lumican	protein_coding
ENSG00000164465	DCBLD1	discoidin, CUB and LCCL domain containing 1	protein_coding
ENSG00000165376	CLDN2	claudin 2	protein_coding
ENSG00000288649	ACTL10	actin like 10	protein_coding
ENSG00000140470	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	protein_coding
ENSG00000196139	AKR1C3	aldo-keto reductase family 1 member C3	protein_coding
ENSG00000238120	LINC01589	long intergenic non-protein coding RNA 1589	lncRNA
ENSG00000150510	FAM124A	family with sequence similarity 124 member A	protein_coding
ENSG00000170537	TMC7	transmembrane channel like 7	protein_coding
ENSG00000187068	C3orf70	chromosome 3 open reading frame 70	protein_coding
ENSG00000275740		novel readthrough transcript	protein_coding
ENSG00000023909	GCLM	glutamate-cysteine ligase modifier subunit	protein_coding
ENSG00000112655	PTK7	protein tyrosine kinase 7 (inactive)	protein_coding
ENSG00000290315		novel protein	protein_coding
ENSG00000157601	MX1	MX dynamin like GTPase 1	protein_coding
ENSG00000182866	LCK	LCK proto-oncogene, Src family tyrosine kinase	protein_coding
ENSG00000276672		novel transcript, sense intronic to RFC3	lncRNA
ENSG00000197937	ZNF347	zinc finger protein 347	protein_coding
ENSG00000130558	OLFM1	olfactomedin 1	protein_coding
ENSG00000117020	AKT3	AKT serine/threonine kinase 3	protein_coding
ENSG00000104324	CPQ	carboxypeptidase Q	protein_coding
ENSG00000108924	HLF	HLF transcription factor, PAR bZIP family member	protein_coding
ENSG00000004399	PLXND1	plexin D1	protein_coding
ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein_coding
ENSG00000153823	PID1	phosphotyrosine interaction domain containing 1	protein_coding
ENSG00000090402	SI	sucrase-isomaltase	protein_coding
ENSG00000273345		novel transcript	protein_coding
ENSG00000145692	BHMT	betaine--homocysteine S-methyltransferase	protein_coding
ENSG00000197816	CCDC180	coiled-coil domain containing 180	protein_coding
ENSG00000160211	G6PD	glucose-6-phosphate dehydrogenase	protein_coding
ENSG00000197535	MYO5A	myosin VA	protein_coding
ENSG00000162882	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	protein_coding
ENSG00000113924	HGD	homogentisate 1,2-dioxygenase	protein_coding
ENSG00000127252	PLAAT1	phospholipase A and acyltransferase 1	protein_coding
ENSG00000197013	ZNF429	zinc finger protein 429	protein_coding
ENSG00000130829	DUSP9	dual specificity phosphatase 9	protein_coding
ENSG00000236283		novel transcript, antisense to SLC38A11 and SCN3A	lncRNA
ENSG00000188342	GTF2F2	general transcription factor IIF subunit 2	protein_coding
ENSG00000163644	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	protein_coding
ENSG00000169116	PARM1	prostate androgen-regulated mucin-like protein 1	protein_coding
ENSG00000064225	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein_coding
ENSG00000137841	PLCB2	phospholipase C beta 2	protein_coding
ENSG00000173805	HAP1	huntingtin associated protein 1	protein_coding
ENSG00000065833	ME1	malic enzyme 1	protein_coding
ENSG00000129116	PALLD	palladin, cytoskeletal associated protein	protein_coding
ENSG00000188385	JAKMIP3	Janus kinase and microtubule interacting protein 3	protein_coding
ENSG00000023516	AKAP11	A-kinase anchoring protein 11	protein_coding
ENSG00000188167	TMPPE	transmembrane protein with metallophosphoesterase domain	protein_coding
ENSG00000285130		novel protein	protein_coding
ENSG00000120686	UFM1	ubiquitin fold modifier 1	protein_coding
ENSG00000215018	COL28A1	collagen type XXVIII alpha 1 chain	protein_coding
ENSG00000146411	SLC2A12	solute carrier family 2 member 12	protein_coding
ENSG00000106927	AMBP	alpha-1-microglobulin/bikunin precursor	protein_coding
ENSG00000102710	SUPT20H	SPT20 homolog, SAGA complex component	protein_coding
ENSG00000161798	AQP5	aquaporin 5	protein_coding
ENSG00000167748	KLK1	kallikrein 1	protein_coding
ENSG00000102780	DGKH	diacylglycerol kinase eta	protein_coding
ENSG00000088826	SMOX	spermine oxidase	protein_coding
ENSG00000268606	MAGEA2	MAGE family member A2	protein_coding
ENSG00000142657	PGD	phosphogluconate dehydrogenase	protein_coding
ENSG00000144893	MED12L	mediator complex subunit 12L	protein_coding
ENSG00000087086	FTL	ferritin light chain	protein_coding
ENSG00000160191	PDE9A	phosphodiesterase 9A	protein_coding
ENSG00000236830	CBR3-AS1	CBR3 antisense RNA 1	lncRNA
ENSG00000188282	RUFY4	RUN and FYVE domain containing 4	protein_coding
ENSG00000141540	TTYH2	tweety family member 2	protein_coding
ENSG00000062524	LTK	leukocyte receptor tyrosine kinase	protein_coding
ENSG00000234147		novel transcript	lncRNA
ENSG00000205413	SAMD9	sterile alpha motif domain containing 9	protein_coding
ENSG00000116701	NCF2	neutrophil cytosolic factor 2	protein_coding
ENSG00000215374	FAM66B	family with sequence similarity 66 member B	lncRNA
ENSG00000064393	HIPK2	homeodomain interacting protein kinase 2	protein_coding
ENSG00000162426	SLC45A1	solute carrier family 45 member 1	protein_coding
ENSG00000100003	SEC14L2	SEC14 like lipid binding 2	protein_coding
ENSG00000157315	TMED6	transmembrane p24 trafficking protein 6	protein_coding
ENSG00000050555	LAMC3	laminin subunit gamma 3	protein_coding
ENSG00000130208	APOC1	apolipoprotein C1	protein_coding
ENSG00000171444	MCC	MCC regulator of WNT signaling pathway	protein_coding
ENSG00000147003	CLTRN	collectrin, amino acid transport regulator	protein_coding
ENSG00000133424	LARGE1	LARGE xylosyl- and glucuronyltransferase 1	protein_coding
ENSG00000160460	SPTBN4	spectrin beta, non-erythrocytic 4	protein_coding
ENSG00000154263	ABCA10	ATP binding cassette subfamily A member 10	protein_coding
ENSG00000143819	EPHX1	epoxide hydrolase 1	protein_coding
ENSG00000154529	CNTNAP3B	contactin associated protein family member 3B	protein_coding
ENSG00000266714	MYO15B	myosin XVB	protein_coding
ENSG00000272141		novel transcript	lncRNA
ENSG00000149243	KLHL35	kelch like family member 35	protein_coding
ENSG00000162692	VCAM1	vascular cell adhesion molecule 1	protein_coding
ENSG00000171903	CYP4F11	cytochrome P450 family 4 subfamily F member 11	protein_coding
ENSG00000221874	ZNF816-ZNF321P	ZNF816-ZNF321P readthrough	protein_coding
ENSG00000132437	DDC	dopa decarboxylase	protein_coding
ENSG00000187715	KBTBD12	kelch repeat and BTB domain containing 12	protein_coding
ENSG00000187824	TMEM220	transmembrane protein 220	protein_coding
ENSG00000135697	BCO1	beta-carotene oxygenase 1	protein_coding
ENSG00000181045	SLC26A11	solute carrier family 26 member 11	protein_coding
ENSG00000259353		novel transcript, antisense to FAM63B	lncRNA
ENSG00000125931	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	protein_coding
ENSG00000173567	ADGRF3	adhesion G protein-coupled receptor F3	protein_coding
ENSG00000168004	PLAAT5	phospholipase A and acyltransferase 5	protein_coding
ENSG00000237943	PRKCQ-AS1	PRKCQ antisense RNA 1	lncRNA
ENSG00000167157	PRRX2	paired related homeobox 2	protein_coding
ENSG00000101255	TRIB3	tribbles pseudokinase 3	protein_coding
ENSG00000114353	GNAI2	G protein subunit alpha i2	protein_coding
ENSG00000102738	MRPS31	mitochondrial ribosomal protein S31	protein_coding
ENSG00000116983	HPCAL4	hippocalcin like 4	protein_coding
ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	protein_coding
ENSG00000196628	TCF4	transcription factor 4	protein_coding
ENSG00000131480	AOC2	amine oxidase copper containing 2	protein_coding
ENSG00000116017	ARID3A	AT-rich interaction domain 3A	protein_coding
ENSG00000156011	PSD3	pleckstrin and Sec7 domain containing 3	protein_coding
ENSG00000116678	LEPR	leptin receptor	protein_coding
ENSG00000198157	HMGN5	high mobility group nucleosome binding domain 5	protein_coding
ENSG00000258388	PPT2-EGFL8	PPT2-EGFL8 readthrough (NMD candidate)	protein_coding
ENSG00000139618	BRCA2	BRCA2 DNA repair associated	protein_coding
ENSG00000256802	LCIIAR	lung cancer immune cell infiltration associated lncRNA	lncRNA
ENSG00000171757	LRRC34	leucine rich repeat containing 34	protein_coding
ENSG00000157152	SYN2	synapsin II	protein_coding
ENSG00000237070		novel transcript, antisense to MEOX2	lncRNA
ENSG00000132530	XAF1	XIAP associated factor 1	protein_coding
ENSG00000235590	GNAS-AS1	GNAS antisense RNA 1	lncRNA
ENSG00000089486	CDIP1	cell death inducing p53 target 1	protein_coding
ENSG00000164898	FMC1	formation of mitochondrial complex V assembly factor 1 homolog	protein_coding
ENSG00000226124	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like	protein_coding
ENSG00000074211	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	protein_coding
ENSG00000112182	BACH2	BTB domain and CNC homolog 2	protein_coding
ENSG00000205045	SLFN12L	schlafen family member 12 like	protein_coding
ENSG00000154654	NCAM2	neural cell adhesion molecule 2	protein_coding
ENSG00000105538	RASIP1	Ras interacting protein 1	protein_coding
ENSG00000144355	DLX1	distal-less homeobox 1	protein_coding
ENSG00000135083	CCNJL	cyclin J like	protein_coding
ENSG00000126259	KIRREL2	kirre like nephrin family adhesion molecule 2	protein_coding
ENSG00000243056	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	protein_coding
ENSG00000149212	SESN3	sestrin 3	protein_coding
ENSG00000172137	CALB2	calbindin 2	protein_coding
ENSG00000101335	MYL9	myosin light chain 9	protein_coding
ENSG00000249628	LINC00942	long intergenic non-protein coding RNA 942	lncRNA
ENSG00000133114	GPALPP1	GPALPP motifs containing 1	protein_coding
ENSG00000188820	CALHM6	calcium homeostasis modulator family member 6	protein_coding
ENSG00000261780	LINC02582	long intergenic non-protein coding RNA 2582	lncRNA
ENSG00000108852	MPP2	MAGUK p55 scaffold protein 2	protein_coding
ENSG00000163536	SERPINI1	serpin family I member 1	protein_coding
ENSG00000168824	NSG1	neuronal vesicle trafficking associated 1	protein_coding
