ENSEMBL	Symbol	Description	Biotype
ENSG00000100311	PDGFB	platelet derived growth factor subunit B	protein_coding
ENSG00000196611	MMP1	matrix metallopeptidase 1	protein_coding
ENSG00000213145	CRIP1	cysteine rich protein 1	protein_coding
ENSG00000198848	CES1	carboxylesterase 1	protein_coding
ENSG00000171747	LGALS4	galectin 4	protein_coding
ENSG00000117009	KMO	kynurenine 3-monooxygenase	protein_coding
ENSG00000175544	CABP4	calcium binding protein 4	protein_coding
ENSG00000134955	SLC37A2	solute carrier family 37 member 2	protein_coding
ENSG00000231826	LINC01819	long intergenic non-protein coding RNA 1819	lncRNA
ENSG00000291166		novel transcript	lncRNA
ENSG00000103056	SMPD3	sphingomyelin phosphodiesterase 3	protein_coding
ENSG00000166741	NNMT	nicotinamide N-methyltransferase	protein_coding
ENSG00000144824	PHLDB2	pleckstrin homology like domain family B member 2	protein_coding
ENSG00000042062	RIPOR3	RIPOR family member 3	protein_coding
ENSG00000163220	S100A9	S100 calcium binding protein A9	protein_coding
ENSG00000198535	C2CD4A	C2 calcium dependent domain containing 4A	protein_coding
ENSG00000174640	SLCO2A1	solute carrier organic anion transporter family member 2A1	protein_coding
ENSG00000125999	BPIFB1	BPI fold containing family B member 1	protein_coding
ENSG00000173175	ADCY5	adenylate cyclase 5	protein_coding
ENSG00000272602	ZNF595	zinc finger protein 595	protein_coding
ENSG00000108176	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	protein_coding
ENSG00000169248	CXCL11	C-X-C motif chemokine ligand 11	protein_coding
ENSG00000144481	TRPM8	transient receptor potential cation channel subfamily M member 8	protein_coding
ENSG00000164825	DEFB1	defensin beta 1	protein_coding
ENSG00000127920	GNG11	G protein subunit gamma 11	protein_coding
