ENSEMBL	Symbol	Description	Biotype
ENSG00000137285	TUBB2B	tubulin beta 2B class IIb	protein_coding
ENSG00000180787	ZFP3	ZFP3 zinc finger protein	protein_coding
ENSG00000134363	FST	follistatin	protein_coding
ENSG00000130303	BST2	bone marrow stromal cell antigen 2	protein_coding
ENSG00000151651	ADAM8	ADAM metallopeptidase domain 8	protein_coding
ENSG00000178597	PSAPL1	prosaposin like 1	protein_coding
ENSG00000170516	COX7B2	cytochrome c oxidase subunit 7B2	protein_coding
ENSG00000178934	LGALS7B	galectin 7B	protein_coding
ENSG00000130475	FCHO1	FCH and mu domain containing endocytic adaptor 1	protein_coding
ENSG00000137880	GCHFR	GTP cyclohydrolase I feedback regulator	protein_coding
ENSG00000259207	ITGB3	integrin subunit beta 3	protein_coding
ENSG00000124102	PI3	peptidase inhibitor 3	protein_coding
ENSG00000070526	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	protein_coding
ENSG00000196136	SERPINA3	serpin family A member 3	protein_coding
ENSG00000154783	FGD5	FYVE, RhoGEF and PH domain containing 5	protein_coding
ENSG00000171227	TMEM37	transmembrane protein 37	protein_coding
ENSG00000100994	PYGB	glycogen phosphorylase B	protein_coding
ENSG00000114378	HYAL1	hyaluronidase 1	protein_coding
ENSG00000139144	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	protein_coding
ENSG00000197951	ZNF71	zinc finger protein 71	protein_coding
ENSG00000132329	RAMP1	receptor activity modifying protein 1	protein_coding
ENSG00000160255	ITGB2	integrin subunit beta 2	protein_coding
ENSG00000170927	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin	protein_coding
ENSG00000180730	SHISA2	shisa family member 2	protein_coding
ENSG00000120784	ZFP30	ZFP30 zinc finger protein	protein_coding
ENSG00000198681	MAGEA1	MAGE family member A1	protein_coding
ENSG00000148175	STOM	stomatin	protein_coding
ENSG00000138792	ENPEP	glutamyl aminopeptidase	protein_coding
ENSG00000155066	PROM2	prominin 2	protein_coding
ENSG00000172508	CARNS1	carnosine synthase 1	protein_coding
ENSG00000018236	CNTN1	contactin 1	protein_coding
ENSG00000134827	TCN1	transcobalamin 1	protein_coding
ENSG00000138271	GPR87	G protein-coupled receptor 87	protein_coding
ENSG00000169715	MT1E	metallothionein 1E	protein_coding
ENSG00000100311	PDGFB	platelet derived growth factor subunit B	protein_coding
ENSG00000163565	IFI16	interferon gamma inducible protein 16	protein_coding
ENSG00000196611	MMP1	matrix metallopeptidase 1	protein_coding
ENSG00000109472	CPE	carboxypeptidase E	protein_coding
ENSG00000132031	MATN3	matrilin 3	protein_coding
ENSG00000198848	CES1	carboxylesterase 1	protein_coding
ENSG00000179314	WSCD1	WSC domain containing 1	protein_coding
ENSG00000151778	SERP2	stress associated endoplasmic reticulum protein family member 2	protein_coding
ENSG00000205795	CYS1	cystin 1	protein_coding
ENSG00000171747	LGALS4	galectin 4	protein_coding
ENSG00000078725	BRINP1	BMP/retinoic acid inducible neural specific 1	protein_coding
ENSG00000175544	CABP4	calcium binding protein 4	protein_coding
ENSG00000187231	SESTD1	SEC14 and spectrin domain containing 1	protein_coding
ENSG00000290596		novel transcript	lncRNA
ENSG00000129538	RNASE1	ribonuclease A family member 1, pancreatic	protein_coding
ENSG00000111817	DSE	dermatan sulfate epimerase	protein_coding
ENSG00000042062	RIPOR3	RIPOR family member 3	protein_coding
ENSG00000163220	S100A9	S100 calcium binding protein A9	protein_coding
ENSG00000183688	RFLNB	refilin B	protein_coding
ENSG00000163521	GLB1L	galactosidase beta 1 like	protein_coding
ENSG00000153093	ACOXL	acyl-CoA oxidase like	protein_coding
ENSG00000109956	B3GAT1	beta-1,3-glucuronyltransferase 1	protein_coding
ENSG00000131849	ZNF132	zinc finger protein 132	protein_coding
ENSG00000289697		novel protein	protein_coding
ENSG00000198535	C2CD4A	C2 calcium dependent domain containing 4A	protein_coding
ENSG00000091129	NRCAM	neuronal cell adhesion molecule	protein_coding
ENSG00000291096		novel transcript	lncRNA
ENSG00000272602	ZNF595	zinc finger protein 595	protein_coding
ENSG00000135362	PRR5L	proline rich 5 like	protein_coding
ENSG00000169248	CXCL11	C-X-C motif chemokine ligand 11	protein_coding
ENSG00000144481	TRPM8	transient receptor potential cation channel subfamily M member 8	protein_coding
ENSG00000127920	GNG11	G protein subunit gamma 11	protein_coding
ENSG00000175928	LRRN1	leucine rich repeat neuronal 1	protein_coding
